dataset,perplexity,alpha
brown_train,7.998140653,0.0001
brown_dev,14.14349177,0.0001
brown_test,14.79263865,0.0001
reuters_train,7.030132113,0.0001
reuters_dev,10.81050359,0.0001
reuters_test,11.13486418,0.0001
gutenberg_train,10.55154284,0.0001
gutenberg_dev,16.62783235,0.0001
gutenberg_test,17.02280403,0.0001
brown_train,30.93980454,0.001
brown_dev,58.37831205,0.001
brown_test,61.92618328,0.001
reuters_train,21.5814511,0.001
reuters_dev,35.31634174,0.001
reuters_test,37.09963301,0.001
gutenberg_train,31.16883714,0.001
gutenberg_dev,51.70166617,0.001
gutenberg_test,53.98486624,0.001
brown_train,106.1114248,0.005
brown_dev,199.2008518,0.005
brown_test,212.6615683,0.005
reuters_train,67.19827524,0.005
reuters_dev,110.2671712,0.005
reuters_test,117.0989032,0.005
gutenberg_train,92.66355869,0.005
gutenberg_dev,153.8734597,0.005
gutenberg_test,162.7713167,0.005
brown_train,189.0915225,0.01
brown_dev,353.5543397,0.01
brown_test,378.1763548,0.01
reuters_train,117.1458938,0.01
reuters_dev,192.0251518,0.01
reuters_test,204.6515726,0.01
gutenberg_train,158.8524248,0.01
gutenberg_dev,263.3955522,0.01
gutenberg_test,279.9796365,0.01
brown_train,1467.987823,0.1
brown_dev,2722.976882,0.1
brown_test,2924.731385,0.1
reuters_train,895.4472472,0.1
reuters_dev,1463.85416,0.1
reuters_test,1572.574029,0.1
gutenberg_train,1173.781672,0.1
gutenberg_dev,1937.646293,0.1
gutenberg_test,2082.858425,0.1
brown_train,2797.972136,0.2
brown_dev,5187.259577,0.2
brown_test,5576.345177,0.2
reuters_train,1714.376377,0.2
reuters_dev,2802.224785,0.2
reuters_test,3014.77491,0.2
gutenberg_train,2231.650093,0.2
gutenberg_dev,3681.240019,0.2
gutenberg_test,3965.093814,0.2
brown_train,6664.735219,0.5
brown_dev,12356.42083,0.5
brown_test,13297.45882,0.5
reuters_train,4112.447214,0.5
reuters_dev,6722.686452,0.5
reuters_test,7243.552343,0.5
gutenberg_train,5306.012523,0.5
gutenberg_dev,8746.993416,0.5
gutenberg_test,9441.175257,0.5
brown_train,11730.36235,0.9
brown_dev,21753.69036,0.9
brown_test,23426.19812,0.9
reuters_train,7266.655542,0.9
reuters_dev,11880.88218,0.9
reuters_test,12811.39378,0.9
gutenberg_train,9325.160351,0.9
gutenberg_dev,15368.79635,0.9
gutenberg_test,16607.11502,0.9
brown_train,12990.15145,1
brown_dev,24091.2603,1
brown_test,25946.51498,1
reuters_train,8051.971098,1
reuters_dev,13165.30033,1
reuters_test,14198.19023,1
gutenberg_train,10323.43528,1
gutenberg_dev,17013.50379,1
gutenberg_test,18387.76214,1
